epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,120,,,,,,,,,,,,,0.748466432094574,0.11963247507810593,0.06366278976202011,1236008.5,0.11963247507810593,0.11963247507810593
0,120,,,,,,,0.7432852983474731,0.10149886459112167,0.053518716245889664,46540300.0,0.10149886459112167,0.10149886459112167,,,,,,
1,241,,,,,,,,,,,,,0.7523570656776428,0.1332491934299469,0.07149261981248856,-1109249.375,0.1332491934299469,0.1332491934299469
1,241,,,,,,,0.7506400942802429,0.1272408813238144,0.06800123304128647,22267432.0,0.1272408813238144,0.1272408813238144,,,,,,
2,362,,,,,,,,,,,,,0.7635153532028198,0.17230412364006042,0.09444060176610947,-12418103.0,0.17230412364006042,0.17230412364006042
2,362,,,,,,,0.7572698593139648,0.1504448652267456,0.08147122710943222,-141551728.0,0.1504448652267456,0.1504448652267456,,,,,,
3,483,,,,,,,,,,,,,0.7738407850265503,0.2084428369998932,0.1168636605143547,-12215352.0,0.2084428369998932,0.2084428369998932
3,483,,,,,,,0.7637416124343872,0.17309632897377014,0.09502106159925461,-425248000.0,0.17309632897377014,0.17309632897377014,,,,,,
4,604,,,,,,,,,,,,,0.7757620811462402,0.21516716480255127,0.12187401950359344,-46823708.0,0.21516716480255127,0.21516716480255127
4,604,,,,,,,0.7691101431846619,0.1918860673904419,0.10666543990373611,-517104256.0,0.1918860673904419,0.1918860673904419,,,,,,
5,725,,,,,,,,,,,,,0.7790948152542114,0.22683165967464447,0.12923769652843475,-122484760.0,0.22683165967464447,0.22683165967464447
5,725,,,,,,,0.7732882499694824,0.20650900900363922,0.115907222032547,-704487552.0,0.20650900900363922,0.20650900900363922,,,,,,
6,726,0.7798073291778564,0.22932550311088562,0.130868062376976,-94152584.0,0.22932550311088562,0.22932550311088562,,,,,,,,,,,,
