epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,120,,,,,,,,,,,,,0.7833799123764038,0.24182942509651184,0.15191061794757843,-8395608.0,0.24182942509651184,0.24182942509651184
0,120,,,,,,,0.7561483979225159,0.1465194821357727,0.08039280027151108,-50739608.0,0.1465194821357727,0.1465194821357727,,,,,,
1,241,,,,,,,,,,,,,0.8041363954544067,0.31447726488113403,0.2057320922613144,-7717804.0,0.31447726488113403,0.31447726488113403
1,241,,,,,,,0.7899399399757385,0.2647901475429535,0.15713149309158325,-224378176.0,0.2647901475429535,0.2647901475429535,,,,,,
2,362,,,,,,,,,,,,,0.814017117023468,0.3490598499774933,0.2376946061849594,-11486683.0,0.3490598499774933,0.3490598499774933
2,362,,,,,,,0.8137395977973938,0.3480881154537201,0.21840563416481018,-469126144.0,0.3480881154537201,0.3480881154537201,,,,,,
3,483,,,,,,,,,,,,,0.8591442704200745,0.5070045590400696,0.3618412911891937,-29293414.0,0.5070045590400696,0.5070045590400696
3,483,,,,,,,0.8413523435592651,0.4447327256202698,0.29763078689575195,-602805504.0,0.4447327256202698,0.4447327256202698,,,,,,
4,604,,,,,,,,,,,,,0.9056517481803894,0.6697813868522644,0.5330691337585449,-5056298.0,0.6697813868522644,0.6697813868522644
4,604,,,,,,,0.8797276020050049,0.5790473818778992,0.41988605260849,-286316288.0,0.5790473818778992,0.5790473818778992,,,,,,
5,725,,,,,,,,,,,,,0.914931058883667,0.7022587060928345,0.5775405168533325,-41816944.0,0.7022587060928345,0.7022587060928345
5,725,,,,,,,0.9065756797790527,0.6730148196220398,0.5246562957763672,-734078656.0,0.6730148196220398,0.6730148196220398,,,,,,
6,726,0.9170215725898743,0.7095752358436584,0.5828467011451721,-9932000.0,0.7095752358436584,0.7095752358436584,,,,,,,,,,,,
