epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,120,,,,,,,,,,,,,0.8076988458633423,0.3269456624984741,0.20095200836658478,-28725168.0,0.3269456624984741,0.3269456624984741
0,120,,,,,,,0.7798699140548706,0.22954419255256653,0.13172195851802826,-45957640.0,0.22954419255256653,0.22954419255256653,,,,,,
1,241,,,,,,,,,,,,,0.854990541934967,0.4924665093421936,0.3432156443595886,-27104352.0,0.4924665093421936,0.4924665093421936
1,241,,,,,,,0.8328514099121094,0.4149801731109619,0.26888105273246765,-28331008.0,0.4149801731109619,0.4149801731109619,,,,,,
2,362,,,,,,,,,,,,,0.8928240537643433,0.6248837113380432,0.4708346724510193,-22063918.0,0.6248837113380432,0.6248837113380432
2,362,,,,,,,0.8731984496116638,0.556194007396698,0.3949677646160126,0.11920148134231567,0.556194007396698,0.556194007396698,,,,,,
3,483,,,,,,,,,,,,,0.9172064661979675,0.710222601890564,0.5649157166481018,-29808490.0,0.710222601890564,0.710222601890564
3,483,,,,,,,0.9066257476806641,0.6731900572776794,0.5161706805229187,0.09962845593690872,0.6731900572776794,0.6731900572776794,,,,,,
4,604,,,,,,,,,,,,,0.9478127360343933,0.8173444867134094,0.6987038254737854,-12702625.0,0.8173444867134094,0.8173444867134094
4,604,,,,,,,0.9336713552474976,0.7678496837615967,0.6296505331993103,-1226184.875,0.7678496837615967,0.7678496837615967,,,,,,
5,725,,,,,,,,,,,,,0.9594624638557434,0.8581184148788452,0.7568376064300537,-7346861.5,0.8581184148788452,0.8581184148788452
5,725,,,,,,,0.9555690884590149,0.8444904088973999,0.7344499826431274,0.0834449902176857,0.8444904088973999,0.8444904088973999,,,,,,
6,726,0.960187554359436,0.8606569170951843,0.760028064250946,-6581213.5,0.8606569170951843,0.8606569170951843,,,,,,,,,,,,
